template_id,segment_id,lifecycle_stage,goal,theme,tone_preferences,hook_used,feature_reference,content_english,content_hindi
TPL-4F3E9EFC,S7,trial,Increase gamification engagement • rapid adoption & habit formation,Loss Avoidance,"Encouraging, Non-judgmental, Growth-focused",You're one step closer!,Habit tracking,You've taken another step towards your goal! Keep up the good work.,आप अपने लक्ष्य के पास हैं! अच्छा काम कर रहे हैं।
TPL-A1D99B51,S7,trial,Increase gamification engagement • rapid adoption & habit formation,Loss Avoidance,"Encouraging, Non-judgmental, Growth-focused",Unlock your potential!,Personalized coaching,You're doing great! Unlock your full potential with our personalized coaching.,आप अच्छा कर रहे हैं! अपने पूर्ण संभव को खोलें और व्यक्तिगत मार्गदर्शन का लाभ उठाएं.
TPL-28FEE842,S7,trial,Increase gamification engagement • rapid adoption & habit formation,Loss Avoidance,"Encouraging, Non-judgmental, Growth-focused",Stay on track!,Community support,You're not alone! Stay on track with our supportive community.,आप अकेले नहीं हैं! हमारे समर्थन में रहें और अपने लक्ष्य को प्राप्त करें.
TPL-31DC5C43,S7,inactive,Increase gamification engagement • compelling return value proposition,Loss Avoidance,"Encouraging, Non-judgmental, Growth-focused",D31+ Retention Reminder,Daily Challenges,Don't let your streaks slip away! Get back on track with our daily challenges and earn rewards.,अपनी स्ट्रीक्स को फिर से शुरू करें! दैनिक चुनौतियों से लाभ उठाएं और पुरस्कार प्राप्त करें.
TPL-84109F74,S7,inactive,Increase gamification engagement • compelling return value proposition,Loss Avoidance,"Encouraging, Non-judgmental, Growth-focused",Loss Aversion: Unlock Rewards,Leaderboard,Don't miss out on exclusive rewards! Check your position on our leaderboard and claim your rewards.,विशेष पुरस्कारों को खोएं नहीं! लीडरबोर्ड में अपनी स्थिति जांचें और पुरस्कार प्राप्त करें.
TPL-2167F293,S7,inactive,Increase gamification engagement • compelling return value proposition,Loss Avoidance,"Encouraging, Non-judgmental, Growth-focused",Growth Focus: Level Up,Skill Trees,Take your skills to the next level! Explore our skill trees and unlock new abilities.,अपनी कौशल को अगले स्तर पर ले जाएं! हमारे कौशल के पेड़ों को खोजें और नए कौशलों को खुलासा करें.
TPL-AAA6A84B,S7,inactive,Increase gamification engagement • compelling return value proposition,Loss Avoidance,"Encouraging, Non-judgmental, Growth-focused",Retention Reminder: Stay Engaged,Daily Quests,Stay engaged and earn rewards! Complete your daily quests and keep your streaks alive.,संलग्न रहें और पुरस्कार प्राप्त करें! दैनिक मिशन पूरा करें और अपनी स्ट्रीक्स को जीवित रखें.
TPL-4AAAF3D0,S7,inactive,Increase gamification engagement • compelling return value proposition,Loss Avoidance,"Encouraging, Non-judgmental, Growth-focused",Loss Aversion: Don't Miss Out,Exclusive Content,Don't miss out on exclusive content! Check our special offers and claim your rewards.,विशेष सामग्री को खोएं नहीं! हमारे विशेष प्रस्तावों को जांचें और पुरस्कार प्राप्त करें.
TPL-4A6BDE43,S6,paid,Increase leaderboard engagement • deepening engagement & retention,Social Influence,"Encouraging, Growth-focused",Retention,Leaderboard,You're on a roll! Keep climbing the ranks with our top players!,आपकी प्रतिभा को देखकर हम खुश हैं! अपनी स्थिति को बनाए रखें और हमारे शीर्ष खिलाड़ियों के साथ प्रतिस्पर्धा करें!
TPL-CCD0918F,S6,paid,Increase leaderboard engagement • deepening engagement & retention,Social Influence,"Encouraging, Growth-focused",Retention,Leaderboard,Your progress matters! Stay on top of the leaderboard and earn rewards.,आपकी प्रगति महत्वपूर्ण है! स्कोरबोर्ड पर बने रहना और पुरस्कार प्राप्त करने का मौका मिलेगा!
TPL-342203A2,S6,paid,Increase leaderboard engagement • deepening engagement & retention,Social Influence,"Encouraging, Growth-focused",Retention,Leaderboard,Get ready to take on the challenge! Our leaderboard is updated daily to keep you engaged.,चुनौती के लिए तैयार हो जाएं! हमारा स्कोरबोर्ड हर दिन अपडेट होता है ताकि आप आकर्षित रहें!
TPL-98053FB2,S6,paid,Increase leaderboard engagement • deepening engagement & retention,Social Influence,"Encouraging, Growth-focused",Retention,Leaderboard,You're one step closer to the top! Keep playing and stay ahead of the competition.,आप ऊपर की ओर एक कदम आगे हैं! खेलते रहें और प्रतिस्पर्धा में रहें!
TPL-EC7FC323,S6,paid,Increase leaderboard engagement • deepening engagement & retention,Social Influence,"Encouraging, Growth-focused",Retention,Leaderboard,Join the leaderboard fun! Share your progress and compete with others.,स्कोरबोर्ड की मज़ेदार दुनिया में शामिल हो! अपनी प्रगति साझा करें और दूसरों के साथ प्रतिस्पर्धा करें!
TPL-90E2C692,S6,churned,Increase leaderboard engagement • re-engagement & recovering lost habits,Social Influence,"Encouraging, Growth-focused",D31+ Retention,Leaderboard,You're not alone! Join the top 10% of our users who are crushing their goals. Get back on track and earn your spot!,आपके साथ ही शीर्ष 10% के उपयोगकर्ताओं के साथ जुड़ें। अपने लक्ष्यों को फिर से प्राप्त करें और अपनी स्थिति को सुरक्षित करें!
TPL-85FACCC5,S6,churned,Increase leaderboard engagement • re-engagement & recovering lost habits,Social Influence,"Encouraging, Growth-focused",D31+ Retention,Recovery Mode,Ready to get back on track? Our recovery mode is here to help! Take a fresh start and get back to your winning streak.,आप फिर से शुरू करने के लिए तैयार हैं? हमारे रिकवरी मोड में आपकी मदद करने के लिए यहाँ है! एक नई शुरुआत लें और अपनी जीत की श्रृंखला को फिर से शुरू करें!
TPL-71072855,S6,churned,Increase leaderboard engagement • re-engagement & recovering lost habits,Social Influence,"Encouraging, Growth-focused",D31+ Retention,Social Influence,See how your friends are crushing it on the leaderboard! Join the fun and get back to your goals.,आपके दोस्तों की तरह शीर्ष पर होने का अवसर! जुड़ें और अपने लक्ष्यों को फिर से प्राप्त करें.
TPL-2D5931A0,S6,churned,Increase leaderboard engagement • re-engagement & recovering lost habits,Social Influence,"Encouraging, Growth-focused",D31+ Retention,Growth Challenges,Take on our growth challenges and level up your game! Get back to your winning streak and earn rewards.,हमारे विकास चुनौतियों को स्वीकार करें और अपनी खेल को स्तर पर ले जाएं! अपनी जीत की श्रृंखला को फिर से शुरू करें और पुरस्कार प्राप्त करें.
TPL-EBBA20F9,S6,churned,Increase leaderboard engagement • re-engagement & recovering lost habits,Social Influence,"Encouraging, Growth-focused",D31+ Retention,Personalized Progress,See how far you've come! Get personalized progress updates and get back to your goals.,आपकी प्रगति देखें! व्यक्तिगत प्रगति अपडेट प्राप्त करें और अपने लक्ष्यों को फिर से प्राप्त करें.
TPL-48312BE5,S6,trial,Increase leaderboard engagement • rapid adoption & habit formation,Social Influence,"Encouraging, Growth-focused",Retention D31+,Leaderboard,You're on a roll! Keep climbing the leaderboard and show off your skills!,आपकी प्रतिभा को दिखाएं! लीडरबोर्ड पर आगे बढ़ें और अपनी क्षमताओं को प्रदर्शित करें!
TPL-C9A5A84C,S6,trial,Increase leaderboard engagement • rapid adoption & habit formation,Social Influence,"Encouraging, Growth-focused",Retention D31+,Habit Formation,Forming a habit is just the beginning! Keep pushing yourself to new heights and watch your progress grow.,आत्मसंयम बनाना बस शुरुआत है! अपने आप को नई ऊंचाइयों तक ले जाएं और अपनी प्रगति को देखें.
TPL-A49D3055,S6,trial,Increase leaderboard engagement • rapid adoption & habit formation,Social Influence,"Encouraging, Growth-focused",Retention D31+,Social Influence,You're not alone! Join the community and see how others are crushing it on the leaderboard.,आप अकेले नहीं हैं! समुदाय में शामिल हों और देखें कि अन्य लोग लीडरबोर्ड पर कैसे सफल हो रहे हैं.
TPL-9E4D1408,S6,trial,Increase leaderboard engagement • rapid adoption & habit formation,Social Influence,"Encouraging, Growth-focused",Retention D31+,Rapid Adoption,Take your game to the next level! Continuously challenge yourself and watch your progress soar.,अपने खेल को अगले स्तर तक ले जाएं! निरंतर अपने आप को चुनौती दें और अपनी प्रगति को उंचा करें.
TPL-0DC928A6,S6,trial,Increase leaderboard engagement • rapid adoption & habit formation,Social Influence,"Encouraging, Growth-focused",Retention D31+,Growth-focused,Growth is just around the corner! Keep pushing yourself and celebrate every small win.,विकास की दिशा में बढ़ना तैयार है! अपने आप को निरंतर प्रोत्साहित करें और हर छोटे जीत का जश्न मनाएं.
TPL-C4069A6E,S6,inactive,Increase leaderboard engagement • compelling return value proposition,Social Influence,"Encouraging, Growth-focused",D31+ Retention Boost,Leaderboard Challenges,Unlock exclusive leaderboard challenges to reignite your competitive spirit! Get ready to climb the ranks and claim your spot at the top!,अनुकूलित लीडरबोर्ड चैलेंज्स को खोजें और अपनी प्रतिस्पर्धात्मक ऊर्जा को फिर से जागृत करें! अपने स्थान को नंबर 1 पर स्थापित करें!
TPL-BD8422A5,S6,inactive,Increase leaderboard engagement • compelling return value proposition,Social Influence,"Encouraging, Growth-focused",Join the Leaderboard Frenzy,Daily Leaderboard Rewards,Join the daily leaderboard frenzy and claim your rewards! Get ready to outshine your friends and climb the ranks!,दैनिक लीडरबोर्ड पुरस्कारों में शामिल हों और अपने पुरस्कारों को प्राप्त करें! अपने दोस्तों से बेहतर बनें और रैंक में चढ़ें!
TPL-E0B453FE,S6,inactive,Increase leaderboard engagement • compelling return value proposition,Social Influence,"Encouraging, Growth-focused",Reclaim Your Leaderboard Throne,Personalized Leaderboard Insights,"Reclaim your leaderboard throne with personalized insights! Get a clear picture of your strengths and weaknesses, and start dominating the competition!",अपने लीडरबोर्ड थ्रोन को फिर से प्राप्त करें व्यक्तिगत लीडरबोर्ड विश्लेषण के साथ! अपनी ताकत और कमजोरियों की एक स्पष्ट तस्वीर प्राप्त करें और प्रतिस्पर्धा में विजय प्राप्त करें!
TPL-7B24FCF3,S6,inactive,Increase leaderboard engagement • compelling return value proposition,Social Influence,"Encouraging, Growth-focused",Level Up Your Leaderboard Game,Leaderboard Challenges with Rewards,Level up your leaderboard game with challenges that reward your progress! Get ready to climb the ranks and claim your spot at the top!,अपने लीडरबोर्ड गेम को स्तर बढ़ाएं चैलेंज्स के साथ प्रगति का पुरस्कार! अपने स्थान को नंबर 1 पर स्थापित करें!
TPL-D542814F,S6,inactive,Increase leaderboard engagement • compelling return value proposition,Social Influence,"Encouraging, Growth-focused","Be the Best, Win Big",Leaderboard Tournaments,"Be the best, win big! Participate in leaderboard tournaments and claim your share of the prize pool! Get ready to outshine your friends and dominate the competition!","सबसे अच्छा होने के लिए, बड़ा पुरस्कार जीतें! लीडरबोर्ड टूर्नामेंट में भाग लें और पुरस्कार की साझा श्रृंखला में अपना हिस्सा जीतें! अपने दोस्तों से बेहतर बनें और प्रतिस्पर्धा में विजय प्राप्त करें!"
TPL-73881BA1,S5,paid,Increase ai_tutor engagement • deepening engagement & retention,Accomplishment,"Encouraging, Growth-focused, Friendly accountability",D31+ Retention Boost,Daily AI Tutor Sessions,You're on a roll! Keep your AI tutor sessions going with our daily reminders. Stay engaged and retain your progress!,आपकी AI ट्यूटर सेशनों को जारी रखें! हमारे दैनिक सुझावों के साथ अपनी प्रगति बनाए रखें और अपनी स्थिति को बनाए रखें।
TPL-D3766683,S5,paid,Increase ai_tutor engagement • deepening engagement & retention,Accomplishment,"Encouraging, Growth-focused, Friendly accountability",Accomplishment Unlock,Complete AI Tutor Sessions,You've completed another session! Unlock new insights and take your learning to the next level. Keep pushing yourself!,आप एक सेशन पूरा कर चुके हैं! नई जानकारी को खोलें और अपनी सीखने की सीमा बढ़ाएं। आगे बढ़ने के लिए प्रेरित रहें!
TPL-3345FA9E,S5,paid,Increase ai_tutor engagement • deepening engagement & retention,Accomplishment,"Encouraging, Growth-focused, Friendly accountability",Growth Focus,AI Tutor Progress Tracking,Track your progress and identify areas for improvement. Take your learning to new heights with our AI tutor feature!,आपकी प्रगति को ट्रैक करें और सुधार के क्षेत्रों की पहचान करें। अपनी सीखने की सीमा बढ़ाएं और हमारे AI ट्यूटर विशेषता का लाभ उठाएं!
TPL-02B14C5D,S5,paid,Increase ai_tutor engagement • deepening engagement & retention,Accomplishment,"Encouraging, Growth-focused, Friendly accountability",Retention Reminder,Next AI Tutor Session Reminder,Don't miss your next session! Get reminded and stay on track. Your AI tutor is waiting for you!,अगले सेशन को नहीं भूलें! सुझाव मिलें और अपनी ट्रैक पर रहें। आपका AI ट्यूटर आपके लिए तैयार है!
TPL-02F5BE39,S5,paid,Increase ai_tutor engagement • deepening engagement & retention,Accomplishment,"Encouraging, Growth-focused, Friendly accountability",Friendly Accountability,Personalized AI Tutor Goals,Set and achieve your goals with our personalized AI tutor feature. Stay motivated and engaged!,आपके लक्ष्यों को निर्धारित करें और उन्हें प्राप्त करें! हमारे व्यक्तिगत AI ट्यूटर विशेषता के साथ अपने लक्ष्यों को प्राप्त करें और प्रेरित रहें!
TPL-C10469A2,S5,churned,Increase ai_tutor engagement • re-engagement & recovering lost habits,Accomplishment,"Encouraging, Growth-focused, Friendly accountability",D31+ Retention Reminder,Daily AI Tutor Sessions,Don't let the streaks slip away! Catch up on your daily AI tutor sessions and get back on track.,अपने दैनिक AI ट्यूटर सेशन को फिर से शुरू करें और अपनी ट्रैक पर वापस आ जाएं।
TPL-B2961E80,S5,churned,Increase ai_tutor engagement • re-engagement & recovering lost habits,Accomplishment,"Encouraging, Growth-focused, Friendly accountability",Re-Engagement Boost,Personalized Learning Plans,Your personalized learning plan is waiting for you! Take a few minutes to review and adjust it for an extra boost in engagement.,आपके व्यक्तिगत सीखने के योजना आपके पास है! इसे कुछ मिनटों के लिए देखें और इसे फिर से शुरू करें और आपकी संलग्नता में बढ़ोतरी होगी।
TPL-12EF1A73,S5,churned,Increase ai_tutor engagement • re-engagement & recovering lost habits,Accomplishment,"Encouraging, Growth-focused, Friendly accountability",Habit Recovery Challenge,Daily Habit Tracking,Recover your lost habits and take back control! Track your daily habits and celebrate small wins.,अपने खोए हुए आदतों को फिर से प्राप्त करें और अपने नियंत्रण को वापस लें! अपने दैनिक आदतों को ट्रैक करें और छोटे जीतों का जश्न मनाएं।
TPL-8C7C1790,S5,churned,Increase ai_tutor engagement • re-engagement & recovering lost habits,Accomplishment,"Encouraging, Growth-focused, Friendly accountability",Accountability Partner,AI Tutor Community,You're not alone! Join our community of learners and find an accountability partner to help you stay on track.,आप अकेले नहीं हैं! हमारे सीखने वालों के समुदाय में शामिल हों और अपने साथी दायित्व को प्राप्त करें जो आपको ट्रैक पर रखने में मदद करेंगे।
TPL-888F998A,S5,churned,Increase ai_tutor engagement • re-engagement & recovering lost habits,Accomplishment,"Encouraging, Growth-focused, Friendly accountability",Progress Update,Learning Progress Dashboard,Take a moment to review your progress! Check your learning dashboard for insights and adjust your strategy for continued growth.,कुछ समय लें अपने प्रगति को समीक्षा करें! अपने सीखने के प्रगति डैशबोर्ड की जांच करें और अपनी रणनीति को जारी रखें और वृद्धि के लिए संशोधित करें।
TPL-A16FD75A,S5,trial,Increase ai_tutor engagement • rapid adoption & habit formation,Accomplishment,"Encouraging, Growth-focused, Friendly accountability",New milestone achieved!,Daily learning streak,You've reached a new milestone in your daily learning streak! Keep up the great work and stay committed to your goals.,आपने दैनिक सीखने की दिनचर्या में एक नया मील का पत्थर हासिल किया! आपकी दिनचर्या में लगे रहें और अपने लक्ष्यों को प्राप्त करने के लिए मजबूत रहें।
TPL-83DD89FD,S5,trial,Increase ai_tutor engagement • rapid adoption & habit formation,Accomplishment,"Encouraging, Growth-focused, Friendly accountability",Your progress is accelerating!,Learning speed,You're learning faster than ever! Keep pushing yourself to new heights and see how much you can achieve.,आपकी सीखने की गति तेजी से बढ़ रही है! अपने आप को नई ऊंचाइयों तक पहुंचाएं और देखें कि आप क्या हासिल कर सकते हैं।
TPL-0D09B2D5,S5,trial,Increase ai_tutor engagement • rapid adoption & habit formation,Accomplishment,"Encouraging, Growth-focused, Friendly accountability",You're on a roll!,Consecutive days,You've got a streak going! Keep it up and see how far you can take it.,आपकी दिनचर्या में लगे रहने की शुरुआत हुई है! इसे आगे बढ़ाएं और देखें कि आप क्या हासिल कर सकते हैं।
